Elapsed Time (sec),interval
0.0,1.18
1.14,1.14
2.277,1.137
3.47,1.193
4.687,1.217
5.827,1.14
6.99,1.163
8.197,1.207
9.393,1.197
10.597,1.203
11.777,1.18
12.973,1.197
14.21,1.237
15.42,1.21
16.667,1.247
17.843,1.177
18.987,1.143
20.177,1.19
21.347,1.17
22.497,1.15
23.647,1.15
24.84,1.193
26.027,1.187
27.203,1.177
28.343,1.14
29.517,1.173
30.713,1.197
31.897,1.183
33.127,1.23
34.323,1.197
35.54,1.217
36.773,1.233
37.957,1.183
39.193,1.237
40.433,1.24
41.653,1.22
42.843,1.19
44.04,1.197
45.263,1.223
46.51,1.247
47.767,1.257
49.02,1.253
50.313,1.293
51.55,1.237
52.763,1.213
53.98,1.217
55.283,1.303
56.547,1.263
57.807,1.26
58.837,1.03
60.093,1.257
61.35,1.257
62.68,1.33
63.973,1.293
65.297,1.323
66.657,1.36
67.97,1.313
69.26,1.29
70.71,1.45
72.04,1.33
73.36,1.32
74.717,1.357
76.06,1.343
77.407,1.347
78.7,1.293
79.88,1.18
81.14,1.26
82.377,1.237
83.66,1.283
84.99,1.33
86.31,1.32
87.617,1.307
88.933,1.317
90.25,1.317
91.587,1.337
92.947,1.36
94.26,1.313
95.603,1.343
96.887,1.283
98.22,1.333
99.577,1.357
100.903,1.327
102.227,1.323
103.517,1.29
104.89,1.373
106.163,1.273
107.427,1.263
108.68,1.253
109.993,1.313
111.34,1.347
112.67,1.33
113.947,1.277
115.203,1.257
116.517,1.313
117.807,1.29
119.04,1.233
120.263,1.223
121.487,1.223
122.743,1.257
124.037,1.293
125.343,1.307
126.607,1.263
127.84,1.233
129.15,1.31
130.493,1.343
131.73,1.237
132.917,1.187
134.23,1.313
135.523,1.293
136.867,1.343
138.247,1.38
139.577,1.33
140.92,1.343
142.303,1.383
143.707,1.403
145.16,1.453
146.493,1.333
147.887,1.393
149.31,1.423
150.59,1.28
152.007,1.417
153.433,1.427
154.803,1.37
156.147,1.343
157.477,1.33
158.813,1.337
160.107,1.293
161.487,1.38
162.837,1.35
164.163,1.327
165.48,1.317
166.8,1.32
168.157,1.357
169.493,1.337
170.867,1.373
172.237,1.37
173.583,1.347
174.933,1.35
176.337,1.403
177.733,1.397
179.08,1.347
180.5,1.42
181.867,1.367
183.153,1.287
184.453,1.3
185.8,1.347
187.193,1.393
188.56,1.367
189.933,1.373
191.213,1.28
192.617,1.403
193.997,1.38
195.42,1.423
196.797,1.377
198.18,1.383
199.58,1.4
200.877,1.297
202.22,1.343
203.513,1.293
204.827,1.313
206.16,1.333
207.447,1.287
208.833,1.387
210.2,1.367
211.513,1.313
212.867,1.353
214.2,1.333
215.553,1.353
216.907,1.353
218.307,1.4
219.667,1.36
221.043,1.377
222.353,1.31
223.703,1.35
225.04,1.337
226.393,1.353
227.793,1.4
229.213,1.42
230.563,1.35
231.91,1.347
233.28,1.37
234.757,1.477
236.27,1.513
237.917,1.647
239.267,1.35
240.66,1.393
242.013,1.353
243.353,1.34
244.663,1.31
246.09,1.427
247.517,1.427
248.933,1.417
250.317,1.383
251.67,1.353
253.053,1.383
254.493,1.44
255.993,1.5
257.43,1.437
258.79,1.36
260.15,1.36
261.537,1.387
262.9,1.363
264.26,1.36
265.6,1.34
266.98,1.38
268.393,1.413
269.773,1.38
271.083,1.31
272.557,1.473
273.903,1.347
275.267,1.363
