time,interval
0.0,1.123
1.123,1.173
2.297,1.133
3.43,1.13
4.56,1.14
5.7,1.15
6.85,1.113
7.963,1.147
9.11,1.13
10.24,1.147
11.387,1.127
12.513,1.14
13.653,1.12
14.773,1.097
15.87,1.143
17.013,1.133
18.147,1.16
19.307,1.147
20.453,1.14
21.593,1.12
22.713,1.137
23.85,1.143
24.993,1.2
26.193,1.133
27.327,1.143
28.47,1.137
29.607,1.18
30.787,1.173
31.96,1.15
33.11,1.143
34.253,1.157
35.41,1.127
36.537,1.13
37.667,1.163
38.83,1.157
39.987,1.153
41.14,1.233
42.373,1.08
43.453,1.167
44.62,1.187
45.807,1.173
46.98,1.133
48.113,1.16
49.273,1.247
50.52,1.283
51.803,1.43
53.233,1.393
54.627,1.393
56.02,1.267
57.287,1.163
58.45,1.143
59.593,1.227
60.82,1.19
62.01,1.14
63.15,1.15
64.3,1.12
65.42,1.117
66.537,1.2
67.737,1.137
68.873,1.147
70.02,1.123
71.143,1.117
72.26,1.173
73.433,1.193
74.627,1.107
75.733,1.147
76.88,1.157
78.037,1.137
79.173,1.16
80.333,1.237
81.57,1.33
82.9,1.213
84.113,1.073
85.187,1.183
86.37,1.103
87.473,1.123
88.597,1.117
89.713,1.13
90.843,1.127
91.97,1.14
93.11,1.15
94.26,1.133
95.393,1.137
96.53,1.167
97.697,1.21
98.907,1.113
100.02,1.147
101.167,1.163
102.33,1.207
103.537,1.133
104.67,1.13
105.8,1.223
107.023,1.21
108.233,1.223
109.457,1.257
110.713,1.293
112.007,1.123
113.13,1.15
114.28,1.177
115.457,1.137
116.593,1.227
117.82,1.193
119.013,1.2
120.213,1.247
121.46,1.283
122.743,1.057
123.8,1.327
125.127,1.217
126.343,1.177
127.52,1.21
128.73,1.203
129.933,1.197
131.13,1.157
132.287,1.237
133.523,1.127
134.65,1.227
135.877,1.223
137.1,1.17
138.27,1.137
139.407,1.173
140.58,1.137
141.717,1.263
142.98,1.13
144.11,1.263
145.373,1.157
146.53,1.237
147.767,1.223
148.99,1.2
150.19,1.203
151.393,1.193
152.587,1.223
153.81,1.267
155.077,1.24
156.317,1.283
157.6,1.18
158.78,1.28
160.06,1.25
161.31,1.207
162.517,1.157
163.673,1.28
164.953,1.193
166.147,1.18
167.327,1.303
168.63,1.29
169.92,1.193
171.113,1.213
172.327,1.203
173.53,1.173
174.703,1.22
175.923,1.187
177.11,1.183
178.293,1.153
179.447,1.223
180.67,1.13
181.8,1.17
182.97,1.197
184.167,1.28
185.447,1.19
186.637,1.217
187.853,1.237
189.09,1.223
190.313,1.213
191.527,1.193
192.72,1.223
193.943,1.33
195.273,1.31
196.583,1.553
198.137,1.48
199.617,1.28
200.897,1.24
202.137,1.193
203.33,1.247
204.577,1.297
205.873,1.367
207.24,1.227
208.467,1.2
209.667,1.217
210.883,1.157
212.04,1.2
213.24,1.227
214.467,1.303
215.77,1.267
217.037,1.137
218.173,1.257
219.43,1.22
220.65,1.25
221.9,1.227
223.127,1.157
224.283,1.203
225.487,1.2
226.687,1.237
227.923,1.167
229.09,1.277
230.367,1.167
231.533,1.187
232.72,1.2
233.92,1.133
235.053,1.203
236.257,1.227
237.483,1.173
238.657,1.183
239.84,1.203
241.043,1.203
242.247,1.17
243.417,1.197
244.613,1.177
245.79,1.183
246.973,1.203
248.177,1.19
249.367,1.2
250.567,1.193
251.76,1.167
252.927,1.17
254.097,1.19
255.287,1.15
256.437,1.163
257.6,1.17
258.77,1.167
259.937,1.16
261.097,1.177
262.273,1.187
263.46,1.257
264.717,1.143
265.86,1.173
267.033,1.273
268.307,1.21
269.517,1.407
270.923,1.653
272.577,1.153
273.73,1.21
274.94,1.193
