time,interval
0.0,1.18
1.18,1.14
2.32,1.137
3.457,1.193
4.65,1.217
5.867,1.14
7.007,1.163
8.17,1.207
9.377,1.197
10.573,1.203
11.777,1.18
12.957,1.197
14.153,1.237
15.39,1.21
16.6,1.247
17.847,1.177
19.023,1.143
20.167,1.19
21.357,1.17
22.527,1.15
23.677,1.15
24.827,1.193
26.02,1.187
27.207,1.177
28.383,1.14
29.523,1.173
30.697,1.197
31.893,1.183
33.077,1.23
34.307,1.197
35.503,1.217
36.72,1.233
37.953,1.183
39.137,1.237
40.373,1.24
41.613,1.22
42.833,1.19
44.023,1.197
45.22,1.223
46.443,1.247
47.69,1.257
48.947,1.253
50.2,1.293
51.493,1.237
52.73,1.213
53.943,1.217
55.16,1.303
56.463,1.263
57.727,1.26
58.987,1.03
60.017,1.257
61.273,1.257
62.53,1.33
63.86,1.293
65.153,1.323
66.477,1.36
67.837,1.313
69.15,1.29
70.44,1.45
71.89,1.33
73.22,1.32
74.54,1.357
75.897,1.343
77.24,1.347
78.587,1.293
79.88,1.18
81.06,1.26
82.32,1.237
83.557,1.283
84.84,1.33
86.17,1.32
87.49,1.307
88.797,1.317
90.113,1.317
91.43,1.337
92.767,1.36
94.127,1.313
95.44,1.343
96.783,1.283
98.067,1.333
99.4,1.357
100.757,1.327
102.083,1.323
103.407,1.29
104.697,1.373
106.07,1.273
107.343,1.263
108.607,1.253
109.86,1.313
111.173,1.347
112.52,1.33
113.85,1.277
115.127,1.257
116.383,1.313
117.697,1.29
118.987,1.233
120.22,1.223
121.443,1.223
122.667,1.257
123.923,1.293
125.217,1.307
126.523,1.263
127.787,1.233
129.02,1.31
130.33,1.343
131.673,1.237
132.91,1.187
134.097,1.313
135.41,1.293
136.703,1.343
138.047,1.38
139.427,1.33
140.757,1.343
142.1,1.383
143.483,1.403
144.887,1.453
146.34,1.333
147.673,1.393
149.067,1.423
150.49,1.28
151.77,1.417
153.187,1.427
154.613,1.37
155.983,1.343
157.327,1.33
158.657,1.337
159.993,1.293
161.287,1.38
162.667,1.35
164.017,1.327
165.343,1.317
166.66,1.32
167.98,1.357
169.337,1.337
170.673,1.373
172.047,1.37
173.417,1.347
174.763,1.35
176.113,1.403
177.517,1.397
178.913,1.347
180.26,1.42
181.68,1.367
183.047,1.287
184.333,1.3
185.633,1.347
186.98,1.393
188.373,1.367
189.74,1.373
191.113,1.28
192.393,1.403
193.797,1.38
195.177,1.423
196.6,1.377
197.977,1.383
199.36,1.4
200.76,1.297
202.057,1.343
203.4,1.293
204.693,1.313
206.007,1.333
207.34,1.287
208.627,1.387
210.013,1.367
211.38,1.313
212.693,1.353
214.047,1.333
215.38,1.353
216.733,1.353
218.087,1.4
219.487,1.36
220.847,1.377
222.223,1.31
223.533,1.35
224.883,1.337
226.22,1.353
227.573,1.4
228.973,1.42
230.393,1.35
231.743,1.347
233.09,1.37
234.46,1.477
235.937,1.513
237.45,1.647
239.097,1.35
240.447,1.393
241.84,1.353
243.193,1.34
244.533,1.31
245.843,1.427
247.27,1.427
248.697,1.417
250.113,1.383
251.497,1.353
252.85,1.383
254.233,1.44
255.673,1.5
257.173,1.437
258.61,1.36
259.97,1.36
261.33,1.387
262.717,1.363
264.08,1.36
265.44,1.34
266.78,1.38
268.16,1.413
269.573,1.38
270.953,1.31
272.263,1.473
273.737,1.347
275.083,1.363
