time,interval
0.0,1.483
1.483,1.443
2.927,1.437
4.363,1.45
5.813,1.427
7.24,1.43
8.67,1.46
10.13,1.387
11.517,1.393
12.91,1.49
14.4,1.44
15.84,1.473
17.313,1.44
18.753,1.453
20.207,1.4
21.607,1.413
23.02,1.51
24.53,1.407
25.937,1.463
27.4,1.44
28.84,1.437
30.277,1.443
31.72,1.433
33.153,1.49
34.643,1.443
36.087,1.413
37.5,1.443
38.943,1.537
40.48,1.387
41.867,1.457
43.323,1.43
44.753,1.483
46.237,1.457
47.693,1.47
49.163,1.467
50.63,1.46
52.09,1.433
53.523,1.407
54.93,1.503
56.433,1.507
57.94,1.45
59.39,1.483
60.873,1.453
62.327,1.487
63.813,1.67
65.483,1.567
67.05,1.763
68.813,1.523
70.337,1.567
71.903,1.61
73.513,1.607
75.12,1.527
76.647,1.563
78.21,1.537
79.747,1.553
81.3,1.487
82.787,1.497
84.283,1.533
85.817,1.6
87.417,1.463
88.88,1.493
90.373,1.47
91.843,1.51
93.353,1.487
94.84,1.547
96.387,1.46
97.847,1.463
99.31,1.507
100.817,1.55
102.367,1.46
103.827,1.563
105.39,1.513
106.903,1.503
108.407,1.46
109.867,1.473
111.34,1.503
112.843,1.49
114.333,1.433
115.767,1.427
117.193,1.507
118.7,1.473
120.173,1.453
121.627,1.507
123.133,1.51
124.643,1.513
126.157,1.53
127.687,1.467
129.153,1.557
130.71,1.547
132.257,1.47
133.727,1.573
135.3,1.457
136.757,1.463
138.22,1.467
139.687,1.513
141.2,1.513
142.713,1.457
144.17,1.477
145.647,1.463
147.11,1.41
148.52,1.513
150.033,1.56
151.593,1.49
153.083,1.47
154.553,1.597
156.15,1.59
157.74,1.767
159.507,2.12
161.627,1.677
163.303,1.843
165.147,1.817
166.963,1.69
168.653,1.66
170.313,1.643
171.957,1.517
173.473,1.513
174.987,1.62
176.607,1.577
178.183,1.453
179.637,1.53
181.167,1.467
182.633,1.457
184.09,1.55
185.64,1.52
187.16,1.507
188.667,1.563
190.23,1.52
191.75,1.483
193.233,1.61
194.843,1.473
196.317,1.577
197.893,1.527
199.42,1.56
200.98,1.48
202.46,1.587
204.047,1.643
205.69,1.663
207.353,1.477
208.83,1.573
210.403,1.517
211.92,1.527
213.447,1.56
215.007,1.527
216.533,1.54
218.073,1.513
219.587,1.437
221.023,1.463
222.487,1.5
223.987,1.497
225.483,1.533
227.017,1.547
228.563,1.483
230.047,1.527
231.573,1.493
233.067,1.567
234.633,1.417
236.05,1.553
237.603,1.473
239.077,1.443
240.52,1.433
241.953,1.567
243.52,1.5
245.02,1.51
246.53,1.553
248.083,1.517
249.6,1.53
251.13,1.703
252.833,1.557
254.39,1.68
256.07,1.447
257.517,1.74
259.257,1.713
260.97,1.7
262.67,1.543
264.213,1.58
265.793,1.563
267.357,1.717
269.073,1.497
270.57,1.56
272.13,1.543
273.673,1.547
275.22,1.497
