time,interval
0.0,1.087
1.047,1.047
2.097,1.05
3.113,1.017
4.133,1.02
5.19,1.057
6.253,1.063
7.29,1.037
8.337,1.047
9.393,1.057
10.42,1.027
11.483,1.063
12.473,0.99
13.517,1.043
14.54,1.023
15.593,1.053
16.653,1.06
17.717,1.063
18.8,1.083
19.873,1.073
20.933,1.06
21.897,0.963
23.0,1.103
24.037,1.037
25.083,1.047
26.12,1.037
27.15,1.03
28.217,1.067
29.293,1.077
30.343,1.05
31.367,1.023
32.407,1.04
33.423,1.017
34.427,1.003
35.503,1.077
36.547,1.043
37.573,1.027
38.6,1.027
39.7,1.1
40.777,1.077
41.877,1.1
42.97,1.093
44.043,1.073
45.077,1.033
46.167,1.09
47.3,1.133
48.383,1.083
49.553,1.17
50.73,1.177
51.84,1.11
52.903,1.063
54.007,1.103
55.1,1.093
56.18,1.08
57.23,1.05
58.293,1.063
59.353,1.06
60.403,1.05
61.467,1.063
62.517,1.05
63.567,1.05
64.597,1.03
65.68,1.083
66.723,1.043
67.757,1.033
68.85,1.093
69.92,1.07
70.947,1.027
72.03,1.083
73.093,1.063
74.143,1.05
75.213,1.07
76.257,1.043
77.323,1.067
78.377,1.053
79.43,1.053
80.463,1.033
81.517,1.053
82.57,1.053
83.63,1.06
84.687,1.057
85.7,1.013
86.773,1.073
87.787,1.013
88.84,1.053
89.85,1.01
90.923,1.073
91.97,1.047
93.01,1.04
94.03,1.02
95.09,1.06
96.127,1.037
97.207,1.08
98.25,1.043
99.323,1.073
100.433,1.11
101.513,1.08
102.587,1.073
103.657,1.07
104.773,1.117
105.853,1.08
106.977,1.123
108.127,1.15
109.287,1.16
110.43,1.143
111.437,1.007
112.643,1.207
113.787,1.143
114.953,1.167
116.087,1.133
117.24,1.153
118.347,1.107
119.437,1.09
120.527,1.09
121.613,1.087
122.727,1.113
123.833,1.107
124.933,1.1
126.0,1.067
127.083,1.083
128.123,1.04
129.157,1.033
130.227,1.07
131.297,1.07
132.333,1.037
133.393,1.06
134.453,1.06
135.527,1.073
136.62,1.093
137.647,1.027
138.703,1.057
139.743,1.04
140.8,1.057
141.88,1.08
142.933,1.053
144.02,1.087
145.093,1.073
146.15,1.057
147.19,1.04
148.267,1.077
149.35,1.083
150.393,1.043
151.453,1.06
152.487,1.033
153.587,1.1
154.64,1.053
155.693,1.053
156.763,1.07
157.82,1.057
158.863,1.043
159.92,1.057
160.967,1.047
162.04,1.073
163.097,1.057
164.147,1.05
165.223,1.077
166.32,1.097
167.413,1.093
168.513,1.1
169.587,1.073
170.65,1.063
171.723,1.073
172.867,1.143
174.023,1.157
175.42,1.397
176.59,1.17
177.71,1.12
178.81,1.1
179.96,1.15
181.067,1.107
182.16,1.093
183.25,1.09
184.327,1.077
185.41,1.083
186.473,1.063
187.55,1.077
188.63,1.08
189.677,1.047
190.71,1.033
191.79,1.08
192.807,1.017
193.867,1.06
194.96,1.093
196.023,1.063
197.06,1.037
198.133,1.073
199.207,1.073
200.297,1.09
201.393,1.097
202.463,1.07
203.53,1.067
204.607,1.077
205.697,1.09
206.77,1.073
207.82,1.05
208.9,1.08
209.927,1.027
210.987,1.06
212.057,1.07
213.107,1.05
214.17,1.063
215.207,1.037
216.263,1.057
217.29,1.027
218.357,1.067
219.407,1.05
220.47,1.063
221.493,1.023
222.57,1.077
223.62,1.05
224.7,1.08
225.78,1.08
226.837,1.057
227.88,1.043
228.947,1.067
230.003,1.057
231.093,1.09
232.19,1.097
233.253,1.063
234.347,1.093
235.493,1.147
236.56,1.067
237.787,1.227
238.923,1.137
240.02,1.097
241.14,1.12
242.243,1.103
243.337,1.093
244.393,1.057
245.433,1.04
246.527,1.093
247.653,1.127
248.77,1.117
249.823,1.053
250.903,1.08
251.967,1.063
253.01,1.043
254.1,1.09
255.193,1.093
256.267,1.073
257.333,1.067
258.393,1.06
259.487,1.093
260.567,1.08
261.62,1.053
262.73,1.11
263.797,1.067
264.87,1.073
265.943,1.073
267.003,1.06
268.103,1.1
269.18,1.077
270.28,1.1
271.38,1.1
272.46,1.08
273.497,1.037
274.543,1.047
275.583,1.04
