time,interval
0.0,1.117
1.117,1.1
2.217,1.097
3.313,1.113
4.427,1.097
5.523,1.137
6.66,1.133
7.793,1.087
8.88,1.09
9.97,1.083
11.053,1.083
12.137,1.08
13.217,1.047
14.263,1.053
15.317,1.05
16.367,1.087
17.453,1.03
18.483,1.027
19.51,1.06
20.57,1.053
21.623,1.053
22.677,1.067
23.743,1.103
24.847,1.067
25.913,1.093
27.007,1.06
28.067,1.103
29.17,1.1
30.27,1.087
31.357,1.077
32.433,1.09
33.523,1.08
34.603,1.077
35.68,1.117
36.797,1.063
37.86,1.073
38.933,1.117
40.05,1.083
41.133,1.083
42.217,1.093
43.31,1.06
44.37,1.073
45.443,1.11
46.553,1.127
47.68,1.203
48.883,1.177
50.06,1.267
51.327,1.11
52.437,1.08
53.517,1.1
54.617,1.093
55.71,1.14
56.85,1.127
57.977,1.11
59.087,1.067
60.153,1.093
61.247,1.073
62.32,1.087
63.407,1.083
64.49,1.067
65.557,1.067
66.623,1.09
67.713,1.057
68.77,1.053
69.823,1.09
70.913,1.09
72.003,1.057
73.06,1.067
74.127,1.053
75.18,1.083
76.263,1.09
77.353,1.067
78.42,1.073
79.493,1.097
80.59,1.07
81.66,1.097
82.757,1.06
83.817,1.083
84.9,1.077
85.977,1.05
87.027,1.077
88.103,1.053
89.157,1.077
90.233,1.077
91.31,1.083
92.393,1.087
93.48,1.043
94.523,1.083
95.607,1.07
96.677,1.097
97.773,1.097
98.87,1.07
99.94,1.067
101.007,1.083
102.09,1.087
103.177,1.127
104.303,1.113
105.417,1.107
106.523,1.143
107.667,1.137
108.803,1.237
110.04,1.317
111.357,1.203
112.56,1.143
113.703,1.157
114.86,1.133
115.993,1.083
117.077,1.127
118.203,1.083
119.287,1.1
120.387,1.12
121.507,1.113
122.62,1.07
123.69,1.113
124.803,1.09
125.893,1.107
127.0,1.123
128.123,1.123
129.247,1.077
130.323,1.13
131.453,1.113
132.567,1.13
133.697,1.06
134.757,1.073
135.83,1.093
136.923,1.08
138.003,1.127
139.13,1.1
140.23,1.08
141.31,1.083
142.393,1.087
143.48,1.07
144.55,1.07
145.62,1.11
146.73,1.09
147.82,1.103
148.923,1.15
150.073,1.09
151.163,1.103
152.267,1.117
153.383,1.053
154.437,1.087
155.523,1.097
156.62,1.117
157.737,1.087
158.823,1.08
159.903,1.117
161.02,1.117
162.137,1.127
163.263,1.12
164.383,1.097
165.48,1.077
166.557,1.093
167.65,1.147
168.797,1.14
169.937,1.24
171.177,1.773
172.95,1.227
174.177,1.167
175.343,1.173
176.517,1.133
177.65,1.173
178.823,1.1
179.923,1.123
181.047,1.097
182.143,1.1
183.243,1.07
184.313,1.12
185.433,1.13
186.563,1.113
187.677,1.087
188.763,1.08
189.843,1.12
190.963,1.117
192.08,1.11
193.19,1.127
194.317,1.107
195.423,1.087
196.51,1.107
197.617,1.117
198.733,1.14
199.873,1.11
200.983,1.12
202.103,1.103
203.207,1.09
204.297,1.09
205.387,1.1
206.487,1.093
207.58,1.093
208.673,1.093
209.767,1.083
210.85,1.107
211.957,1.077
213.033,1.097
214.13,1.063
215.193,1.093
216.287,1.1
217.387,1.063
218.45,1.053
219.503,1.1
220.603,1.053
221.657,1.073
222.73,1.087
223.817,1.053
224.87,1.067
225.937,1.083
227.02,1.107
228.127,1.143
229.27,1.11
230.38,1.097
231.477,1.157
232.633,1.17
233.803,1.237
235.04,1.273
236.313,1.12
237.433,1.12
238.553,1.157
239.71,1.17
240.88,1.13
242.01,1.13
243.14,1.12
244.26,1.157
245.417,1.137
246.553,1.343
247.897,1.473
249.37,1.513
250.883,1.827
252.71,1.167
253.877,1.107
254.983,1.133
256.117,1.083
257.2,1.043
258.243,1.087
259.33,1.093
260.423,1.097
261.52,1.083
262.603,1.097
263.7,1.12
264.82,1.073
265.893,1.097
266.99,1.123
268.113,1.073
269.187,1.1
270.287,1.1
271.387,1.083
272.47,1.12
273.59,1.13
274.72,1.083
275.803,1.113
