time,interval
0.0,0.857
0.95,0.95
1.937,0.987
2.82,0.883
3.773,0.953
4.677,0.903
5.63,0.953
6.577,0.947
7.493,0.917
8.42,0.927
9.383,0.963
10.287,0.903
11.217,0.93
12.123,0.907
12.987,0.863
13.897,0.91
14.74,0.843
15.66,0.92
16.61,0.95
17.537,0.927
18.46,0.923
19.34,0.88
20.19,0.85
21.077,0.887
21.99,0.913
22.863,0.873
23.73,0.867
24.61,0.88
25.49,0.88
26.363,0.873
27.23,0.867
28.163,0.933
29.077,0.913
30.047,0.97
30.983,0.937
31.883,0.9
32.713,0.83
33.607,0.893
34.423,0.817
35.277,0.853
36.077,0.8
37.057,0.98
37.953,0.897
38.883,0.93
39.737,0.853
40.61,0.873
41.507,0.897
42.357,0.85
43.263,0.907
44.167,0.903
45.06,0.893
45.903,0.843
46.783,0.88
47.673,0.89
48.533,0.86
49.437,0.903
50.39,0.953
51.31,0.92
52.227,0.917
53.137,0.91
54.15,1.013
54.98,0.83
55.847,0.867
56.747,0.9
57.717,0.97
58.643,0.927
59.503,0.86
60.367,0.863
61.257,0.89
62.237,0.98
63.13,0.893
63.97,0.84
64.87,0.9
65.77,0.9
66.673,0.903
67.587,0.913
68.467,0.88
69.397,0.93
70.36,0.963
71.283,0.923
72.233,0.95
73.197,0.963
74.2,1.003
75.147,0.947
76.003,0.857
76.877,0.873
77.793,0.917
78.787,0.993
79.693,0.907
80.62,0.927
81.61,0.99
82.53,0.92
83.363,0.833
84.68,1.317
85.627,0.947
86.5,0.873
87.43,0.93
88.39,0.96
89.373,0.983
90.273,0.9
91.277,1.003
92.193,0.917
93.253,1.06
94.19,0.937
95.083,0.893
96.063,0.98
96.997,0.933
97.87,0.873
98.803,0.933
99.707,0.903
100.587,0.88
101.39,0.803
102.317,0.927
103.283,0.967
104.28,0.997
105.133,0.853
106.07,0.937
106.997,0.927
107.943,0.947
108.827,0.883
109.713,0.887
110.63,0.917
111.527,0.897
112.403,0.877
113.223,0.82
114.14,0.917
115.06,0.92
115.957,0.897
116.813,0.857
117.76,0.947
118.663,0.903
119.54,0.877
120.447,0.907
121.34,0.893
122.223,0.883
123.1,0.877
123.977,0.877
124.89,0.913
125.777,0.887
126.68,0.903
127.6,0.92
128.463,0.863
129.453,0.99
130.363,0.91
131.263,0.9
132.207,0.943
133.23,1.023
134.14,0.91
134.89,0.75
135.767,0.877
136.65,0.883
137.533,0.883
138.383,0.85
139.277,0.893
140.13,0.853
140.993,0.863
141.893,0.9
142.783,0.89
143.703,0.92
144.59,0.887
145.44,0.85
146.29,0.85
147.207,0.917
148.117,0.91
149.03,0.913
149.937,0.907
150.823,0.887
151.693,0.87
152.643,0.95
153.55,0.907
154.48,0.93
155.41,0.93
156.257,0.847
157.103,0.847
158.017,0.913
158.92,0.903
159.807,0.887
160.65,0.843
161.603,0.953
162.477,0.873
163.38,0.903
164.267,0.887
165.153,0.887
166.037,0.883
166.94,0.903
167.83,0.89
168.75,0.92
169.677,0.927
170.57,0.893
171.49,0.92
172.323,0.833
173.21,0.887
174.067,0.857
174.837,0.77
175.67,0.833
176.513,0.843
177.357,0.843
178.347,0.99
179.23,0.883
180.103,0.873
181.057,0.953
181.967,0.91
182.96,0.993
183.793,0.833
184.623,0.83
185.493,0.87
186.383,0.89
187.3,0.917
188.25,0.95
189.15,0.9
190.057,0.907
191.067,1.01
192.003,0.937
192.903,0.9
193.693,0.79
194.58,0.887
195.467,0.887
196.413,0.947
197.323,0.91
198.203,0.88
199.107,0.903
200.033,0.927
200.863,0.83
201.76,0.897
202.63,0.87
203.543,0.913
204.457,0.913
205.28,0.823
206.183,0.903
207.023,0.84
207.917,0.893
208.82,0.903
209.737,0.917
210.663,0.927
211.577,0.913
212.417,0.84
213.333,0.917
214.17,0.837
215.03,0.86
215.95,0.92
216.817,0.867
217.723,0.907
218.583,0.86
219.447,0.863
220.29,0.843
221.137,0.847
222.087,0.95
222.967,0.88
223.837,0.87
224.713,0.877
225.603,0.89
226.477,0.873
227.367,0.89
228.267,0.9
229.137,0.87
230.033,0.897
230.977,0.943
231.997,1.02
232.77,0.773
233.69,0.92
234.553,0.863
235.43,0.877
236.337,0.907
237.237,0.9
238.103,0.867
239.05,0.947
239.847,0.797
240.703,0.857
241.54,0.837
242.417,0.877
243.337,0.92
244.36,1.023
245.223,0.863
246.077,0.853
246.987,0.91
247.927,0.94
248.77,0.843
249.633,0.863
250.557,0.923
251.45,0.893
252.283,0.833
253.19,0.907
254.1,0.91
255.007,0.907
255.86,0.853
256.777,0.917
257.667,0.89
258.54,0.873
259.473,0.933
260.337,0.863
261.273,0.937
262.197,0.923
263.047,0.85
263.983,0.937
264.967,0.983
265.877,0.91
266.687,0.81
267.607,0.92
268.487,0.88
269.417,0.93
270.29,0.873
271.11,0.82
271.983,0.873
272.777,0.793
273.687,0.91
274.573,0.887
275.457,0.883
276.33,0.873
277.217,0.887
