time,interval
0.0,1.097
1.097,1.173
2.27,1.03
3.3,1.023
4.323,1.157
5.48,1.18
6.66,1.167
7.827,1.253
9.08,1.077
10.157,1.05
11.207,1.073
12.28,1.103
13.383,1.097
14.48,1.22
15.7,1.15
16.85,1.173
18.023,1.263
19.287,1.037
20.323,0.987
21.31,1.23
22.54,1.207
23.747,1.123
24.87,1.167
26.037,1.077
27.113,1.077
28.19,1.053
29.243,1.087
30.33,1.07
31.4,1.043
32.443,1.033
33.477,0.93
34.407,1.13
35.537,1.14
36.677,1.12
37.797,1.123
38.92,1.187
40.107,1.05
41.157,1.25
42.407,1.183
43.59,1.1
44.69,1.027
45.717,1.07
46.787,1.027
47.813,1.06
48.873,1.05
49.923,1.06
50.983,1.137
52.12,1.18
53.3,1.07
54.37,1.08
55.45,1.027
56.477,1.013
57.49,1.023
58.513,1.1
59.613,1.0
60.613,1.233
61.847,1.363
63.21,1.263
64.473,1.28
65.753,1.077
66.83,1.153
67.983,0.873
68.857,1.24
70.097,1.267
71.363,1.053
72.417,1.187
73.603,1.07
74.673,1.197
75.87,1.21
77.08,1.19
78.27,1.213
79.483,1.203
80.687,1.193
81.88,1.177
83.057,1.163
84.22,1.117
85.337,1.137
86.473,1.113
87.587,1.02
88.607,1.19
89.797,1.307
91.103,1.33
92.433,1.147
93.58,1.053
94.633,0.997
95.63,0.987
96.617,1.087
97.703,1.127
98.83,1.193
100.023,1.127
101.15,1.217
102.367,1.153
103.52,1.09
104.61,1.083
105.693,1.173
106.867,1.067
107.933,1.117
109.05,1.24
110.29,1.213
111.503,1.117
112.62,1.177
113.797,1.217
115.013,1.113
116.127,0.983
117.11,1.113
118.223,1.24
119.463,1.227
120.69,1.15
121.84,1.17
123.01,1.047
124.057,1.097
125.153,1.073
126.227,1.22
127.447,1.103
128.55,1.393
129.943,1.083
131.027,1.133
132.16,0.973
133.133,1.113
134.247,1.113
135.36,1.113
136.473,1.043
137.517,1.047
138.563,1.197
139.76,1.107
140.867,1.17
142.037,1.133
143.17,1.303
144.473,1.18
145.653,1.13
146.783,1.233
148.017,1.207
149.223,1.153
150.377,1.173
151.55,1.273
152.823,1.133
153.957,1.06
155.017,1.127
156.143,1.007
157.15,1.05
158.2,1.003
159.203,1.023
160.227,1.267
161.493,1.143
162.637,1.183
163.82,1.107
164.927,1.237
166.163,1.177
167.34,1.02
168.36,1.223
169.583,1.197
170.78,1.137
171.917,1.033
172.95,1.093
174.043,1.247
175.29,1.08
176.37,1.053
177.423,1.227
178.65,1.223
179.873,1.107
180.98,1.11
182.09,1.14
183.23,1.13
184.36,1.247
185.607,1.297
186.903,1.06
187.963,1.34
189.303,1.06
190.363,1.163
191.527,1.073
192.6,1.187
193.787,1.347
195.133,1.083
196.217,1.08
197.297,1.203
198.5,1.143
199.643,1.153
200.797,1.173
201.97,1.26
203.23,1.2
204.43,1.06
205.49,1.257
206.747,1.163
207.91,1.067
208.977,1.14
210.117,1.337
211.453,1.217
212.67,1.117
213.787,1.103
214.89,1.127
216.017,1.12
217.137,1.29
218.427,1.18
219.607,1.3
220.907,1.223
222.13,1.113
223.243,1.097
224.34,1.12
225.46,1.44
226.9,1.363
228.263,1.177
229.44,0.897
230.337,1.313
231.65,1.257
232.907,1.337
234.243,1.147
235.39,1.183
236.573,1.223
237.797,1.147
238.943,1.293
240.237,1.213
241.45,1.287
242.737,1.087
243.823,1.123
244.947,1.043
245.99,1.12
247.11,1.053
248.163,1.28
249.443,1.387
250.83,1.167
251.997,1.147
253.143,1.327
254.47,1.15
255.62,1.12
256.74,1.143
257.883,1.16
259.043,1.06
260.103,1.073
261.177,1.187
262.363,1.233
263.597,1.037
264.633,1.207
265.84,1.04
266.88,1.157
268.037,1.05
269.087,1.29
270.377,1.133
271.51,1.23
272.74,1.113
273.853,1.04
274.893,1.223
276.117,1.187
