time,interval
0.0,1.147
1.147,1.17
2.317,1.12
3.437,1.183
4.62,1.153
5.773,1.123
6.897,1.08
7.977,1.087
9.063,1.143
10.207,1.14
11.347,1.087
12.433,1.077
13.51,1.13
14.64,1.067
15.707,1.07
16.777,1.113
17.89,1.083
18.973,1.077
20.05,1.177
21.227,1.083
22.31,1.103
23.413,1.043
24.457,1.07
25.527,1.087
26.613,1.053
27.667,1.06
28.727,1.06
29.787,1.083
30.87,1.11
31.98,1.037
33.017,1.063
34.08,1.053
35.133,1.05
36.183,1.093
37.277,1.027
38.303,1.047
39.35,1.03
40.38,1.023
41.403,1.087
42.49,1.107
43.597,1.057
44.653,1.01
45.663,1.073
46.737,1.057
47.793,1.07
48.863,1.043
49.907,1.073
50.98,1.09
52.07,1.097
53.167,1.207
54.373,1.32
55.693,1.293
56.987,1.12
58.107,1.19
59.297,1.09
60.387,1.1
61.487,1.1
62.587,1.113
63.7,1.09
64.79,1.103
65.893,1.077
66.97,1.067
68.037,1.07
69.107,1.093
70.2,1.14
71.34,1.1
72.44,1.057
73.497,1.083
74.58,1.13
75.71,1.093
76.803,1.123
77.927,1.073
79.0,1.093
80.093,1.09
81.183,1.11
82.293,1.083
83.377,1.063
84.44,1.197
85.637,1.1
86.737,1.083
87.82,1.103
88.923,1.077
90.0,1.05
91.05,1.107
92.157,1.093
93.25,1.11
94.36,1.107
95.467,1.053
96.52,1.11
97.63,1.083
98.713,1.153
99.867,1.107
100.973,1.073
102.047,1.117
103.163,1.073
104.237,1.097
105.333,1.067
106.4,1.073
107.473,1.08
108.553,1.08
109.633,1.047
110.68,1.127
111.807,1.14
112.947,1.077
114.023,1.087
115.11,1.083
116.193,1.093
117.287,1.133
118.42,1.097
119.517,1.097
120.613,1.107
121.72,1.133
122.853,1.023
123.877,1.183
125.06,1.243
126.303,1.18
127.483,1.107
128.59,1.11
129.7,1.14
130.84,1.133
131.973,1.093
133.067,1.117
134.183,1.15
135.333,1.11
136.443,1.107
137.55,1.107
138.657,1.083
139.74,1.127
140.867,1.147
142.013,1.113
143.127,1.147
144.273,1.133
145.407,1.173
146.58,1.163
147.743,1.13
148.873,1.193
150.067,1.207
151.273,1.12
152.393,1.12
153.513,1.143
154.657,1.113
155.77,1.107
156.877,1.123
158.0,1.117
159.117,1.097
160.213,1.087
161.3,1.117
162.417,1.11
163.527,1.15
164.677,1.11
165.787,1.077
166.863,1.103
167.967,1.09
169.057,1.123
170.18,1.123
171.303,1.133
172.437,1.013
173.45,1.143
174.593,1.083
175.677,1.163
176.84,1.11
177.95,1.037
178.987,1.117
180.103,1.13
181.233,1.083
182.317,1.1
183.417,1.1
184.517,1.127
185.643,1.077
186.72,1.15
187.87,1.113
188.983,1.11
190.093,1.05
191.143,1.17
192.313,1.167
193.48,1.187
194.667,1.26
195.927,1.597
197.523,1.367
198.89,1.227
200.117,1.223
201.34,1.19
202.53,1.21
203.74,1.23
204.97,1.227
206.197,1.16
207.357,1.13
208.487,1.06
209.547,1.123
210.67,1.173
211.843,1.203
213.047,1.233
214.28,1.213
215.493,1.147
216.64,1.16
217.8,1.243
219.043,1.127
220.17,1.217
221.387,1.167
222.553,1.173
223.727,1.167
224.893,1.1
225.993,1.113
227.107,1.18
228.287,1.947
230.233,1.18
231.413,1.143
232.557,1.137
233.693,1.117
234.81,1.147
235.957,1.123
237.08,1.093
238.173,1.17
239.343,1.183
240.527,1.093
241.62,1.087
242.707,1.193
243.9,1.11
245.01,1.16
246.17,1.127
247.297,1.147
248.443,1.2
249.643,1.11
250.753,1.19
251.943,1.1
253.043,1.133
254.177,1.113
255.29,1.107
256.397,1.14
257.537,1.08
258.617,1.137
259.753,1.103
260.857,1.093
261.95,1.15
263.1,1.07
264.17,1.11
265.28,1.087
266.367,1.14
267.507,1.123
268.63,1.083
269.713,1.127
270.84,1.227
272.067,1.32
273.387,1.143
274.53,1.183
275.713,1.177
276.89,1.13
