time,interval
0.0,1.113
1.113,1.033
2.147,1.04
3.187,0.98
4.167,1.1
5.267,0.987
6.253,1.017
7.27,1.09
8.36,1.007
9.367,1.007
10.373,1.163
11.537,1.003
12.54,0.973
13.513,1.083
14.597,0.963
15.56,1.023
16.583,1.12
17.703,1.1
18.803,1.083
19.887,1.013
20.9,1.113
22.013,1.133
23.147,1.03
24.177,1.077
25.253,1.12
26.373,1.073
27.447,1.13
28.577,1.057
29.633,1.073
30.707,1.063
31.77,1.123
32.893,1.063
33.957,1.12
35.077,1.123
36.2,1.12
37.32,1.083
38.403,1.13
39.533,1.077
40.61,1.05
41.66,1.02
42.68,1.147
43.827,1.053
44.88,1.09
45.97,1.083
47.053,1.107
48.16,1.353
49.513,1.153
50.667,1.067
51.733,1.11
52.843,1.08
53.923,1.15
55.073,1.167
56.24,1.167
57.407,1.267
58.673,1.027
59.7,1.353
61.053,1.073
62.127,1.11
63.237,1.033
64.27,1.09
65.36,0.97
66.33,1.203
67.533,1.06
68.593,1.07
69.663,1.047
70.71,1.01
71.72,1.15
72.87,1.0
73.87,1.01
74.88,1.19
76.07,1.05
77.12,1.013
78.133,1.25
79.383,0.91
80.293,1.037
81.33,0.963
82.293,1.26
83.553,1.123
84.677,0.9
85.577,1.27
86.847,1.13
87.977,1.073
89.05,0.853
89.903,1.123
91.027,1.16
92.187,1.133
93.32,1.087
94.407,1.047
95.453,1.107
96.56,1.133
97.693,1.053
98.747,0.993
99.74,1.073
100.813,1.143
101.957,0.993
102.95,1.173
104.123,1.017
105.14,1.043
106.183,1.09
107.273,1.067
108.34,1.11
109.45,1.15
110.6,1.127
111.727,1.0
112.727,1.147
113.873,1.083
114.957,1.093
116.05,0.91
116.96,0.817
117.777,1.023
118.8,0.947
119.747,0.94
120.687,0.96
121.647,1.107
122.753,1.05
123.803,0.967
124.77,1.103
125.873,1.22
127.093,1.057
128.15,1.413
129.563,1.297
130.86,1.153
132.013,1.067
133.08,1.183
134.263,1.047
135.31,1.067
136.377,1.103
137.48,1.097
138.577,1.067
139.643,1.243
140.887,1.087
141.973,1.09
143.063,0.98
144.043,1.003
145.047,1.01
146.057,1.143
147.2,1.007
148.207,1.067
149.273,1.103
150.377,1.07
151.447,1.077
152.523,1.093
153.617,1.023
154.64,1.0
155.64,1.07
156.71,1.037
157.747,1.093
158.84,1.093
159.933,1.083
161.017,1.04
162.057,1.0
163.057,1.07
164.127,1.047
165.173,0.933
166.107,1.073
167.18,1.033
168.213,0.957
169.17,1.183
170.353,1.077
171.43,1.06
172.49,1.143
173.633,0.95
174.583,1.03
175.613,1.117
176.73,0.973
177.703,1.103
178.807,1.073
179.88,1.003
180.883,1.04
181.923,0.877
182.8,1.06
183.86,1.033
184.893,1.053
185.947,1.077
187.023,1.063
188.087,1.033
189.12,1.06
190.18,1.137
191.317,1.243
192.56,0.88
193.44,1.167
194.607,1.103
195.71,1.003
196.713,1.047
197.76,1.03
198.79,1.01
199.8,1.03
200.83,1.15
201.98,1.053
203.033,1.063
204.097,1.063
205.16,0.94
206.1,1.127
207.227,1.167
208.393,1.12
209.513,1.133
210.647,1.057
211.703,1.123
212.827,1.16
213.987,0.95
214.937,1.123
216.06,0.96
217.02,1.073
218.093,1.093
219.187,1.083
220.27,1.11
221.38,1.08
222.46,1.06
223.52,1.027
224.547,1.13
225.677,1.04
226.717,1.007
227.723,1.02
228.743,1.117
229.86,1.03
230.89,1.203
232.093,1.037
233.13,1.003
234.133,1.16
235.293,1.043
236.337,1.043
237.38,1.07
238.45,1.107
239.557,0.897
240.453,1.32
241.773,1.097
242.87,0.85
243.72,1.207
244.927,1.093
246.02,0.96
246.98,1.007
247.987,0.94
248.927,1.09
250.017,1.043
251.06,1.11
252.17,0.977
253.147,1.31
254.457,1.047
255.503,1.153
256.657,1.0
257.657,1.377
259.033,1.48
260.513,1.533
262.047,1.13
263.177,1.173
264.35,1.1
265.45,1.27
266.72,1.053
267.773,1.18
268.953,1.023
269.977,1.077
271.053,1.153
272.207,1.087
273.293,0.987
274.28,1.007
275.287,1.227
276.513,0.98
