time,interval
0.0,1.197
1.197,1.197
2.393,1.173
3.567,1.143
4.71,1.107
5.817,1.153
6.97,1.127
8.097,1.19
9.287,1.173
10.46,1.153
11.613,1.2
12.813,1.16
13.973,1.113
15.087,1.153
16.24,1.107
17.347,1.177
18.523,1.197
19.72,1.09
20.81,1.15
21.96,1.173
23.133,1.18
24.313,1.167
25.48,1.247
26.727,1.17
27.897,1.183
29.08,1.193
30.273,1.167
31.44,1.207
32.647,1.183
33.83,1.24
35.07,1.183
36.253,1.133
37.387,1.133
38.52,1.183
39.703,1.16
40.863,1.2
42.063,1.187
43.25,1.16
44.41,1.18
45.59,1.143
46.733,1.18
47.913,1.147
49.06,1.187
50.247,1.187
51.433,1.18
52.613,1.21
53.823,1.13
54.953,1.157
56.11,1.187
57.297,1.19
58.487,1.157
59.643,1.247
60.89,1.163
62.053,1.167
63.22,1.15
64.37,1.22
65.59,1.347
66.937,2.153
69.09,1.68
70.77,1.497
72.267,1.383
73.65,1.33
74.98,1.39
76.37,1.263
77.633,1.443
79.077,1.38
80.457,1.197
81.653,1.13
82.783,1.237
84.02,1.173
85.193,1.153
86.347,1.153
87.5,1.183
88.683,1.173
89.857,1.193
91.05,1.177
92.227,1.18
93.407,1.28
94.687,1.2
95.887,1.107
96.993,1.493
98.487,1.323
99.81,1.203
101.013,1.17
102.183,1.097
103.28,1.207
104.487,1.2
105.687,1.17
106.857,1.197
108.053,1.227
109.28,1.22
110.5,1.127
111.627,1.14
112.767,1.143
113.91,1.117
115.027,1.137
116.163,1.11
117.273,1.1
118.373,1.137
119.51,1.13
120.64,1.117
121.757,1.153
122.91,1.15
124.06,1.143
125.203,1.17
126.373,1.147
127.52,1.2
128.72,1.147
129.867,1.147
131.013,1.2
132.213,1.177
133.39,1.16
134.55,1.127
135.677,1.243
136.92,1.227
138.147,1.173
139.32,1.147
140.467,1.217
141.683,1.21
142.893,1.223
144.117,1.333
145.45,1.25
146.7,1.217
147.917,1.157
149.073,1.323
150.397,1.197
151.593,1.923
153.517,1.663
155.18,1.46
156.64,1.257
157.897,1.33
159.227,1.243
160.47,1.267
161.737,1.193
162.93,1.213
164.143,1.253
165.397,1.217
166.613,1.207
167.82,1.233
169.053,1.147
170.2,1.207
171.407,1.213
172.62,1.133
173.753,1.16
174.913,1.277
176.19,1.227
177.417,1.2
178.617,1.107
179.723,1.17
180.893,1.187
182.08,1.23
183.31,1.243
184.553,1.133
185.687,1.15
186.837,1.157
187.993,1.187
189.18,1.18
190.36,1.203
191.563,1.18
192.743,1.183
193.927,1.173
195.1,1.153
196.253,1.18
197.433,1.217
198.65,1.207
199.857,1.183
201.04,1.16
202.2,1.147
203.347,1.093
204.44,1.157
205.597,1.15
206.747,1.147
207.893,1.427
209.32,1.317
210.637,1.157
211.793,1.25
213.043,1.13
214.173,1.157
215.33,1.21
216.54,1.167
217.707,1.153
218.86,1.18
220.04,1.223
221.263,1.217
222.48,1.22
223.7,1.147
224.847,1.2
226.047,1.133
227.18,1.127
228.307,1.16
229.467,1.263
230.73,1.283
232.013,1.317
233.33,1.4
234.73,1.317
236.047,1.333
237.38,1.27
238.65,1.19
239.84,1.223
241.063,1.283
242.347,1.223
243.57,1.23
244.8,1.197
245.997,1.23
247.227,1.133
248.36,1.167
249.527,1.183
250.71,1.203
251.913,1.227
253.14,1.17
254.31,1.2
255.51,1.167
256.677,1.187
257.863,1.193
259.057,1.137
260.193,1.163
261.357,1.197
262.553,1.17
263.723,1.23
264.953,1.233
266.187,1.267
267.453,1.18
268.633,1.207
269.84,1.19
271.03,1.153
272.183,1.15
273.333,1.147
274.48,1.15
275.63,1.167
