time,interval
0.0,1.383
1.383,1.283
2.667,1.407
4.073,1.31
5.383,1.373
6.757,1.33
8.087,1.273
9.36,1.31
10.67,1.18
11.85,1.203
13.053,1.29
14.343,1.29
15.633,1.293
16.927,1.293
18.22,1.177
19.397,1.39
20.787,1.343
22.13,1.333
23.463,1.427
24.89,1.41
26.3,1.123
27.423,1.343
28.767,1.383
30.15,1.383
31.533,1.273
32.807,1.377
34.183,1.387
35.57,1.397
36.967,1.247
38.213,1.353
39.567,1.457
41.023,1.21
42.233,1.477
43.71,1.437
45.147,1.443
46.59,1.427
48.017,1.323
49.34,1.367
50.707,1.237
51.943,1.183
53.127,0.967
54.093,0.733
54.827,0.937
55.763,1.193
56.957,1.223
58.18,1.14
59.32,1.37
60.69,1.34
62.03,1.333
63.363,1.383
64.747,1.18
65.927,1.317
67.243,1.233
68.477,1.13
69.607,1.27
70.877,1.197
72.073,1.333
73.407,1.347
74.753,1.253
76.007,1.083
77.09,1.807
78.897,0.96
79.857,1.733
81.59,1.293
82.883,1.45
84.333,1.3
85.633,1.353
86.987,1.387
88.373,1.29
89.663,1.393
91.057,1.403
92.46,1.3
93.76,1.137
94.897,1.307
96.203,1.383
97.587,1.313
98.9,1.367
100.267,1.57
101.837,1.29
103.127,1.39
104.517,1.37
105.887,1.393
107.28,1.263
108.543,1.52
110.063,1.29
111.353,1.573
112.927,1.353
114.28,1.21
115.49,1.4
116.89,1.233
118.123,1.573
119.697,1.433
121.13,1.377
122.507,1.463
123.97,1.533
125.503,1.517
127.02,1.517
128.537,1.263
129.8,1.36
131.16,1.44
132.6,1.4
134.0,1.4
135.4,1.473
136.873,1.347
138.22,1.453
139.673,1.457
141.13,1.233
142.363,1.437
143.8,1.35
145.15,1.343
146.493,1.187
147.68,1.283
148.963,1.19
150.153,1.293
151.447,1.287
152.733,1.347
154.08,1.387
155.467,1.383
156.85,1.55
158.4,1.327
159.727,1.483
161.21,1.33
162.54,1.383
163.923,1.297
165.22,1.287
166.507,1.317
167.823,1.537
169.36,1.577
170.937,1.263
172.2,1.31
173.51,1.423
174.933,1.39
176.323,1.567
177.89,1.197
179.087,1.767
180.853,1.437
182.29,1.343
183.633,1.32
184.953,1.5
186.453,1.477
187.93,1.53
189.46,1.52
190.98,1.513
192.493,1.663
194.157,1.45
195.607,1.433
197.04,1.367
198.407,1.483
199.89,1.363
201.253,1.507
202.76,1.377
204.137,1.367
205.503,1.307
206.81,1.473
208.283,1.443
209.727,1.433
211.16,1.447
212.607,1.453
214.06,1.513
215.573,1.44
217.013,1.55
218.563,1.56
220.123,1.517
221.64,1.517
223.157,1.43
224.587,1.497
226.083,1.48
227.563,1.37
228.933,1.383
230.317,1.513
231.83,1.47
233.3,1.37
234.67,1.57
236.24,1.17
237.41,1.223
238.633,1.413
240.047,1.19
241.237,1.297
242.533,1.37
243.903,1.37
245.273,1.39
246.663,1.203
247.867,1.347
249.213,1.453
250.667,1.503
252.17,1.313
253.483,1.377
254.86,1.44
256.3,1.14
257.44,1.377
258.817,1.36
260.177,1.387
261.563,1.353
262.917,1.367
264.283,1.45
265.733,1.413
267.147,1.437
268.583,1.547
270.13,1.523
271.653,1.64
273.293,1.503
274.797,1.827
