time,interval
0.0,1.13
1.13,1.077
2.207,1.09
3.297,1.103
4.4,1.077
5.477,1.097
6.573,1.08
7.653,1.2
8.853,1.157
10.01,1.157
11.167,1.077
12.243,1.087
13.33,1.127
14.457,1.107
15.563,1.153
16.717,1.18
17.897,1.1
18.997,1.077
20.073,1.157
21.23,1.09
22.32,1.067
23.387,1.15
24.537,1.147
25.683,1.173
26.857,1.143
28.0,1.187
29.187,1.17
30.357,1.143
31.5,1.137
32.637,1.063
33.7,1.11
34.81,1.093
35.903,1.073
36.977,1.103
38.08,1.107
39.187,1.07
40.257,1.067
41.323,1.117
42.44,1.123
43.563,1.123
44.687,1.083
45.77,1.11
46.88,1.18
48.06,1.13
49.19,1.113
50.303,1.167
51.47,1.133
52.603,1.12
53.723,1.127
54.85,1.107
55.957,1.113
57.07,1.147
58.217,1.127
59.343,1.087
60.43,1.113
61.543,1.127
62.67,1.247
63.917,1.16
65.077,1.14
66.217,1.15
67.367,1.203
68.57,1.167
69.737,1.223
70.96,1.383
72.343,1.31
73.653,1.223
74.877,1.22
76.097,1.123
77.22,1.163
78.383,1.15
79.533,1.087
80.62,1.143
81.763,1.163
82.927,1.07
83.997,1.067
85.063,1.12
86.183,1.13
87.313,1.107
88.42,1.143
89.563,1.113
90.677,1.147
91.823,1.157
92.98,1.09
94.07,1.173
95.243,1.157
96.4,1.137
97.537,1.103
98.64,1.11
99.75,1.147
100.897,1.097
101.993,1.11
103.103,1.13
104.233,1.1
105.333,1.083
106.417,1.12
107.537,1.13
108.667,1.197
109.863,1.09
110.953,1.097
112.05,1.163
113.213,1.143
114.357,1.107
115.463,1.173
116.637,1.133
117.77,1.097
118.867,1.143
120.01,1.113
121.123,1.093
122.217,1.107
123.323,1.123
124.447,1.133
125.58,1.127
126.707,1.14
127.847,1.13
128.977,1.147
130.123,1.093
131.217,1.11
132.327,1.17
133.497,1.123
134.62,1.11
135.73,1.12
136.85,1.047
137.897,1.1
138.997,1.14
140.137,1.143
141.28,1.1
142.38,1.163
143.543,1.12
144.663,1.063
145.727,1.113
146.84,1.103
147.943,1.067
149.01,1.093
150.103,1.18
151.283,1.093
152.377,1.097
153.473,1.127
154.6,1.18
155.78,1.363
157.143,1.203
158.347,1.29
159.637,1.13
160.767,1.133
161.9,1.183
163.083,1.137
164.22,1.173
165.393,1.077
166.47,1.127
167.597,1.14
168.737,1.127
169.863,1.117
170.98,1.1
172.08,1.13
173.21,1.1
174.31,1.083
175.393,1.107
176.5,1.123
177.623,1.11
178.733,1.093
179.827,1.083
180.91,1.127
182.037,1.133
183.17,1.063
184.233,1.11
185.343,1.07
186.413,1.077
187.49,1.127
188.617,1.09
189.707,1.083
190.79,1.08
191.87,1.083
192.953,1.083
194.037,1.11
195.147,1.137
196.283,1.123
197.407,1.093
198.5,1.087
199.587,1.123
200.71,1.08
201.79,1.09
202.88,1.13
204.01,1.113
205.123,1.037
206.16,1.117
207.277,1.083
208.36,1.063
209.423,1.107
210.53,1.107
211.637,1.12
212.757,1.063
213.82,1.097
214.917,1.087
216.003,1.1
217.103,1.073
218.177,1.093
219.27,1.127
220.397,1.127
221.523,1.097
222.62,1.127
223.747,1.097
224.843,1.11
225.953,1.103
227.057,1.087
228.143,1.137
229.28,1.113
230.393,1.11
231.503,1.1
232.603,1.14
233.743,1.133
234.877,1.2
236.077,1.34
237.417,1.32
238.737,1.353
240.09,1.307
241.397,1.2
242.597,1.203
243.8,1.17
244.97,1.127
246.097,1.133
247.23,1.157
248.387,1.143
249.53,1.097
250.627,1.053
251.68,1.09
252.77,1.157
253.927,1.137
255.063,1.16
256.223,1.14
257.363,1.14
258.503,1.217
259.72,1.133
260.853,1.123
261.977,1.15
263.127,1.13
264.257,1.083
265.34,1.16
266.5,1.13
267.63,1.143
268.773,1.197
269.97,1.113
271.083,1.103
272.187,1.09
273.277,1.107
274.383,1.18
275.563,1.14
276.703,1.063
